vehicle_id,vehicle_type,firmware_version
1001022143,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001023100,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001043819,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001018378,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001043147,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001023126,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001048703,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001023577,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001048557,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001016953,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001030514,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001043667,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001017304,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001043542,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001016149,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001023788,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001015802,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1001021698,sitdown scooter,H+yoYFwuwDc5U1Y2rFNkOg==
1101032867,sitdown scooter,IH3Q15R3bd44mlkgsrzgzw==
1001019742,sitdown scooter,KUkKPvwQtnfZpkHZE7SqKg==
1001022813,sitdown scooter,PMzL9HHzJpO7yQBI3CusCw==
1001023144,sitdown scooter,PMzL9HHzJpO7yQBI3CusCw==
1001043829,sitdown scooter,PMzL9HHzJpO7yQBI3CusCw==
1001022220,sitdown scooter,Ppv0bd9SddK/sW4GH7wW6w==
1001044584,sitdown scooter,Ppv0bd9SddK/sW4GH7wW6w==
1001022114,sitdown scooter,Ppv0bd9SddK/sW4GH7wW6w==
1001019004,sitdown scooter,Ppv0bd9SddK/sW4GH7wW6w==
1001016668,sitdown scooter,Ppv0bd9SddK/sW4GH7wW6w==
1001021717,sitdown scooter,Ppv0bd9SddK/sW4GH7wW6w==
1001023128,sitdown scooter,Ppv0bd9SddK/sW4GH7wW6w==
1001019193,sitdown scooter,Ppv0bd9SddK/sW4GH7wW6w==
1001043866,sitdown scooter,Ppv0bd9SddK/sW4GH7wW6w==
1001014867,sitdown scooter,QM0mKA8o18F7T1O8GOc+ZA==
1001044316,sitdown scooter,R3gg1sCdrzh27kusMF84cA==
1001048594,sitdown scooter,R3gg1sCdrzh27kusMF84cA==
1101020713,sitdown scooter,WjSpI6qJErwi33QRVf41YQ==
1101019234,sitdown scooter,WjSpI6qJErwi33QRVf41YQ==
1101021067,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101019310,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101020170,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101021068,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101051953,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101019827,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101019296,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101021040,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101020118,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101021041,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101021048,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101021070,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101051784,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101021105,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101019956,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101020319,sitdown scooter,XsTebr9octdjZFBf/yXImg==
