customer_id,app_version,phone_model,customer_signed_up_at_local_time,num_days_between_signup_and_first_ride,has_completed_in_app_safety_quiz
4261892,4.0.5,SM-S901U1,2023-08-30 17:51:15,9,false
4299973,4.0.5,SM-S916U1,2023-09-08 17:24:38,0,false
2988314,4.0.5,iPhone 12,2022-06-22 12:29:27,0,false
3116019,4.0.5,iPhone 12,2022-07-24 02:27:36,0,false
1413591,4.0.5,iPhone 13,2020-01-09 13:04:18,22,true
4116802,4.0.5,iPhone 13,2023-07-25 14:49:18,2,false
1742078,4.0.5,iPhone 14,2020-11-21 21:41:35,0,true
3189279,4.0.5,iPhone 14,2022-08-13 18:42:38,0,false
2626438,4.0.5,iPhone 14,2022-01-15 19:06:03,0,true
4303078,4.0.5,Pixel Fold,2023-09-09 11:03:54,0,false
3198030,4.0.5,Pixel 7 Pro,2022-08-15 09:50:10,0,false
3253227,4.0.5,Pixel 7 Pro,2022-08-27 21:53:24,0,false
4211850,4.0.5,moto g pure,2023-08-18 22:59:53,0,false
4255781,4.0.5,ONEPLUS A6003,2023-08-28 12:54:26,1,false
1406375,4.0.5,Pixel 4a (5G),2019-12-10 10:08:58,72,false
2277435,4.0.5,iPhone 11 Pro,2021-08-20 17:54:29,2,true
1415904,4.0.5,iPhone 13 Pro,2020-01-15 12:56:10,862,false
3294160,4.0.5,iPhone 14 Pro,2022-09-05 19:30:17,0,false
4234917,4.0.5,moto g stylus 5G,2023-08-23 19:05:18,5,false
4347017,4.0.5,iPhone SE 2nd gen,2023-09-22 18:15:10,3,false
3395392,4.0.5,moto g power (2021),2022-10-07 01:55:44,334,false
4115543,4.0.5,unrecognized latest gen,2023-07-24 23:16:57,0,false
4238727,4.0.6,Pixel 6a,2023-08-24 21:16:46,22,false
4234104,4.0.6,SM-S911U,2023-08-23 15:27:57,10,false
4184329,4.0.6,iPhone 13,2023-08-12 17:11:18,0,false
2860717,4.0.6,iPhone 14,2022-05-16 13:33:44,0,false
1457869,4.0.6,iPhone 13 Mini,2020-05-11 16:19:33,880,false
3579682,4.0.6,iPhone 14 Plus,2023-02-18 10:31:43,0,false
2667268,4.0.6,iPhone 12 Pro Max,2022-02-24 20:40:10,0,false
2485196,4.0.6,iPhone 13 Pro Max,2021-10-15 01:15:20,0,false
2783218,4.0.7,SM-G998U,2022-04-20 16:45:08,465,false
1552821,4.0.7,iPhone 11,2020-08-02 18:48:43,954,false
3569048,4.0.7,iPhone 12,2023-02-08 08:47:17,0,false
3988023,4.0.7,iPhone 14,2023-06-30 02:18:22,0,false
3412461,4.0.7,iPhone XR,2022-10-12 17:22:28,351,false
